AMDBId;run_material;raw_path;structure_content_id;run_content_id;status
anyt.am-1-3;RuO2;8/Runs/ht.task.tetralith--default.RuO2_SCF.cleanup.0.unclaimed.3.finished;4a5ff14e5b5126a87dd3738b8dac78471e6f22de1e27cd51b2daa0decaac841a;e1cfe82a6e4f8b52c608cd8135c761f7ea2c53bac87718c752bac6f7b7672193;auto
anyt.am-1-30;Mn2GeO4;6/Runs/ht.task.tetralith--default.Mn2GeO4_SCF.cleanup.0.unclaimed.3.finished;0644d868b8162543c18769ab0b05dc7afcc9cd4712afa7a54d2dbdfc84f7d079;54f4f0da369cd3bafe00160a4d5814586382d9576af0e66ced7bdc5e00f80ad1;auto
anyt.am-1-32;ErCrO3;4/Runs/ht.task.tetralith--default.ErCrO3_SCF.cleanup.0.unclaimed.3.finished;4473629e1137927f655a6ac9d37d7f72884498f939731272558cf10700ae25fe;58a1b351b6175bb34e8490b51ebaed1b6c08251dc0ac044c049e034173b772e9;auto
anyt.am-1-34;CeFeO3;2/Runs/ht.task.tetralith--default.CeFeO3_SCF.cleanup.0.unclaimed.3.finished;6da7cd8781dd30b30592f395d698ff6fd3ed1bacc815c8641ab7d9f05413f31d;5656dc42f4f1243f7d5041bd6ae9b32909167d51091cbbc22a91082c05427d4e;auto
anyt.am-1-35;ScCrO3;8/Runs/ht.task.tetralith--default.ScCrO3_SCF.cleanup.0.unclaimed.3.finished;608d824484f7a83f33469af7f31904a2ae0bc72660d68465f664566f6856a4dc;e0195a8ea07ccdae2e0671825be858fe7a407c1b5f7d0bebc59b881bce6ef197;auto
anyt.am-1-36;Sr2TbIrO6;9/Runs/ht.task.tetralith--default.Sr2TbIrO6_SCF.cleanup.0.unclaimed.3.finished;99083039f25249923aa2f6964e95e34426f6c18e56034e8613e5d40e535cf08d;d3e7df238d505ffe702d73f7c6fc985f35a2f3be0c03907bfa6cafc700301671;auto
anyt.am-1-37;SmCrO3;8/Runs/ht.task.tetralith--default.SmCrO3_SCF.cleanup.0.unclaimed.3.finished;686211f7c154df99f5f64cd6a6588cce57e5eae1da7337fcb312a7b2a1cf1eef;5ade6d04c11127efe850e0f028b13c62ebcca807c8f43fc31bfa0a35d79c7441;auto
anyt.am-1-38;YCrO3;10/Runs/ht.task.tetralith--default.YCrO3_SCF.cleanup.0.unclaimed.3.finished;4c32e5439086ed1a184565c792f1ae81378bf57e25c27d78c3a08b94087faaac;260cc7dab05c285308d902a1a34ae5114074f525d6b1ca75cdd6911ae6009b3e;auto
anyt.am-1-39;SmFeO3;8/Runs/ht.task.tetralith--default.SmFeO3_SCF.cleanup.0.unclaimed.3.finished;145ede9730880a4fdb303b82f076bc7bfea2ed16c01b4a626ff8e1d758276a05;45d2938a92e1552977b27c2c3d110595ddb414295c89d3b79145e7f7604ee68d;auto
anyt.am-1-4;CrSe;2/Runs/ht.task.tetralith--default.CrSe_SCF.cleanup.0.unclaimed.3.finished;1ed10d040f2a9280296c9e2f840e4650d196aefee811dd8c5c5d0fe401a38f96;aad7e45fee7ab0fd179462a5e6ff7f4ac05c8237b8f090d46a07aa9cdeb5bde1;auto
